,provinsi,daerah,jenis,tahun,pengeluaran,kategori_pengeluaran,Cluster,cluster_opt,daerah_asli,jenis_asli,pengeluaran_asli
0,ACEH,0,0,2007,0.0551308912624674,rendah,1,0,PERDESAAN,MAKANAN,195176.0
1,ACEH,0,0,2008,0.06470256446230957,rendah,1,0,PERDESAAN,MAKANAN,218780.99999999994
2,ACEH,0,0,2009,0.07631833021035783,rendah,1,0,PERDESAAN,MAKANAN,247426.99999999997
3,ACEH,0,0,2010,0.08780271607631548,rendah,1,0,PERDESAAN,MAKANAN,275749.0
4,ACEH,0,0,2011,0.1008802857593534,rendah,1,0,PERDESAAN,MAKANAN,307999.99999999994
5,ACEH,0,0,2012,0.10825296790803085,rendah,1,0,PERDESAAN,MAKANAN,326182.0
6,ACEH,0,0,2013,0.11294817671891721,rendah,1,0,PERDESAAN,MAKANAN,337761.0
7,ACEH,0,0,2014,0.12524233303097038,rendah,2,0,PERDESAAN,MAKANAN,368080.0
8,ACEH,0,0,2015,0.13621336417246285,rendah,2,0,PERDESAAN,MAKANAN,395136.0
9,ACEH,0,0,2016,0.1431533847958604,sedang,2,0,PERDESAAN,MAKANAN,412251.0
10,ACEH,0,0,2017,0.17636289394196822,sedang,2,0,PERDESAAN,MAKANAN,494150.0
11,ACEH,0,0,2018,0.1814339951932805,sedang,2,0,PERDESAAN,MAKANAN,506656.0
12,ACEH,0,0,2019,0.18715266950539125,sedang,0,0,PERDESAAN,MAKANAN,520759.0
13,ACEH,0,0,2020,0.20588160158564164,sedang,0,0,PERDESAAN,MAKANAN,566947.0
14,ACEH,0,0,2021,0.21844906049192034,sedang,0,0,PERDESAAN,MAKANAN,597940.0
15,ACEH,0,0,2022,0.23289517061340215,sedang,0,0,PERDESAAN,MAKANAN,633566.0
16,ACEH,0,1,2007,0.017058704505154024,rendah,1,2,PERDESAAN,NONMAKANAN,101285.0
17,ACEH,0,1,2008,0.021609152149662768,rendah,1,2,PERDESAAN,NONMAKANAN,112507.0
18,ACEH,0,1,2009,0.025384701785914857,rendah,1,2,PERDESAAN,NONMAKANAN,121818.0
19,ACEH,0,1,2010,0.03266776987921566,rendah,1,2,PERDESAAN,NONMAKANAN,139779.0
20,ACEH,0,1,2011,0.04358365390970715,rendah,1,2,PERDESAAN,NONMAKANAN,166699.0
21,ACEH,0,1,2012,0.04332616556054807,rendah,1,2,PERDESAAN,NONMAKANAN,166063.99999999997
22,ACEH,0,1,2013,0.04533295271013583,rendah,1,2,PERDESAAN,NONMAKANAN,171012.99999999997
23,ACEH,0,1,2014,0.05526348762494774,rendah,2,2,PERDESAAN,NONMAKANAN,195503.0
24,ACEH,0,1,2015,0.08149080482748078,rendah,2,2,PERDESAAN,NONMAKANAN,260183.0
25,ACEH,0,1,2016,0.08661867516364702,rendah,2,2,PERDESAAN,NONMAKANAN,272829.0
26,ACEH,0,1,2017,0.09236654500511124,rendah,2,2,PERDESAAN,NONMAKANAN,287004.0
27,ACEH,0,1,2018,0.11030719779281797,rendah,2,2,PERDESAAN,NONMAKANAN,331248.0
28,ACEH,0,1,2019,0.11179414232252868,rendah,0,2,PERDESAAN,NONMAKANAN,334915.0
29,ACEH,0,1,2020,0.1295377252870995,rendah,0,2,PERDESAAN,NONMAKANAN,378673.0
30,ACEH,0,1,2021,0.1295377252870995,rendah,0,2,PERDESAAN,NONMAKANAN,378673.0
31,ACEH,0,1,2022,0.14063486489566046,rendah,0,2,PERDESAAN,NONMAKANAN,406040.0
32,ACEH,0,2,2007,0.09620129668699676,rendah,1,1,PERDESAAN,TOTAL,296461.0
33,ACEH,0,2,2008,0.1103234175313477,rendah,1,1,PERDESAAN,TOTAL,331288.0
34,ACEH,0,2,2009,0.12571473291564803,rendah,1,1,PERDESAAN,TOTAL,369245.0
35,ACEH,0,2,2010,0.1444821868749065,sedang,1,1,PERDESAAN,TOTAL,415528.0
36,ACEH,0,2,2011,0.1684756405884359,sedang,1,1,PERDESAAN,TOTAL,474699.0
37,ACEH,0,2,2012,0.17559083438795425,sedang,1,1,PERDESAAN,TOTAL,492246.0
38,ACEH,0,2,2013,0.18229283034842836,sedang,1,1,PERDESAAN,TOTAL,508774.0
39,ACEH,0,2,2014,0.20451752157529346,sedang,2,1,PERDESAAN,TOTAL,563583.0
40,ACEH,0,2,2015,0.24171586991931898,tinggi,2,1,PERDESAAN,TOTAL,655319.0
41,ACEH,0,2,2016,0.25378376087888277,tinggi,2,1,PERDESAAN,TOTAL,685080.0
42,ACEH,0,2,2017,0.29274154535991803,tinggi,2,1,PERDESAAN,TOTAL,781155.0
43,ACEH,0,2,2018,0.31575329939893704,tinggi,2,1,PERDESAAN,TOTAL,837905.0
44,ACEH,0,2,2019,0.32295851274729526,tinggi,0,1,PERDESAAN,TOTAL,855674.0
45,ACEH,0,2,2020,0.3594314332855797,tinggi,0,1,PERDESAAN,TOTAL,945621.0
46,ACEH,0,2,2021,0.3719984866983952,tinggi,0,1,PERDESAAN,TOTAL,976613.0
47,ACEH,0,2,2022,0.3975417364284379,tinggi,0,1,PERDESAAN,TOTAL,1039605.9999999999
48,ACEH,2,0,2007,0.06788893209647012,rendah,1,0,PERKOTAAN,MAKANAN,226638.99999999994
49,ACEH,2,0,2008,0.08070009257415767,rendah,1,0,PERKOTAAN,MAKANAN,258233.0
50,ACEH,2,0,2009,0.10381808590054625,rendah,1,0,PERKOTAAN,MAKANAN,315245.0
51,ACEH,2,0,2010,0.11431915011814053,rendah,1,0,PERKOTAAN,MAKANAN,341142.0
52,ACEH,2,0,2011,0.13152707621776782,rendah,1,0,PERKOTAAN,MAKANAN,383579.0
53,ACEH,2,0,2012,0.15139138999509757,sedang,1,0,PERKOTAAN,MAKANAN,432567.0
54,ACEH,2,0,2013,0.1618871827976697,sedang,1,0,PERKOTAAN,MAKANAN,458450.99999999994
55,ACEH,2,0,2014,0.18097538208635308,sedang,2,0,PERKOTAAN,MAKANAN,505525.0
56,ACEH,2,0,2015,0.16509220313113943,sedang,2,0,PERKOTAAN,MAKANAN,466355.0
57,ACEH,2,0,2016,0.19854460286172956,sedang,2,0,PERKOTAAN,MAKANAN,548853.0
58,ACEH,2,0,2017,0.22363613287372,sedang,2,0,PERKOTAAN,MAKANAN,610732.0
59,ACEH,2,0,2018,0.2344628083422981,sedang,2,0,PERKOTAAN,MAKANAN,637432.0
60,ACEH,2,0,2019,0.23526933484068768,sedang,0,0,PERKOTAAN,MAKANAN,639421.0
61,ACEH,2,0,2020,0.24167653705338443,tinggi,0,0,PERKOTAAN,MAKANAN,655222.0
62,ACEH,2,0,2021,0.2737831039794723,tinggi,0,0,PERKOTAAN,MAKANAN,734401.0
63,ACEH,2,0,2022,0.274501232902875,tinggi,0,0,PERKOTAAN,MAKANAN,736172.0
64,ACEH,2,1,2007,0.06129358091682883,rendah,1,2,PERKOTAAN,NONMAKANAN,210374.0
65,ACEH,2,1,2008,0.07710904246368097,rendah,1,2,PERKOTAAN,NONMAKANAN,249377.0
66,ACEH,2,1,2009,0.07987734633723836,rendah,1,2,PERKOTAAN,NONMAKANAN,256203.99999999997
67,ACEH,2,1,2010,0.10072092682829906,rendah,1,2,PERKOTAAN,NONMAKANAN,307607.0
68,ACEH,2,1,2011,0.12734724959866284,rendah,1,2,PERKOTAAN,NONMAKANAN,373271.0
69,ACEH,2,1,2012,0.13248809572565284,rendah,1,2,PERKOTAAN,NONMAKANAN,385948.99999999994
70,ACEH,2,1,2013,0.16672958573571314,sedang,1,2,PERKOTAAN,NONMAKANAN,470393.0
71,ACEH,2,1,2014,0.16673323517688232,sedang,2,2,PERKOTAAN,NONMAKANAN,470402.0
72,ACEH,2,1,2015,0.190877532458738,sedang,2,2,PERKOTAAN,NONMAKANAN,529945.0
73,ACEH,2,1,2016,0.20285864781716786,sedang,2,2,PERKOTAAN,NONMAKANAN,559492.0
74,ACEH,2,1,2017,0.20960687003245165,sedang,2,2,PERKOTAAN,NONMAKANAN,576134.0
75,ACEH,2,1,2018,0.23301600766544844,sedang,2,2,PERKOTAAN,NONMAKANAN,633864.0
76,ACEH,2,1,2019,0.23566590744773896,sedang,0,2,PERKOTAAN,NONMAKANAN,640398.9999999999
77,ACEH,2,1,2020,0.2616304648860908,tinggi,0,2,PERKOTAAN,NONMAKANAN,704431.0
78,ACEH,2,1,2021,0.26960206087997757,tinggi,0,2,PERKOTAAN,NONMAKANAN,724090.0
79,ACEH,2,1,2022,0.266487465588811,tinggi,0,2,PERKOTAAN,NONMAKANAN,716409.0
80,ACEH,2,2,2007,0.1531942139326743,sedang,1,1,PERKOTAAN,TOTAL,437013.0
81,ACEH,2,2,2008,0.1818204304637507,sedang,1,1,PERKOTAAN,TOTAL,507609.0
82,ACEH,2,2,2009,0.20770713315715994,sedang,1,1,PERKOTAAN,TOTAL,571449.0
83,ACEH,2,2,2010,0.23905177786581494,tinggi,1,1,PERKOTAAN,TOTAL,648749.0000000001
84,ACEH,2,2,2011,0.282886026735806,tinggi,1,1,PERKOTAAN,TOTAL,756850.0
85,ACEH,2,2,2012,0.30789118664012577,tinggi,1,1,PERKOTAAN,TOTAL,818516.0
86,ACEH,2,2,2013,0.35262846945275816,tinggi,1,1,PERKOTAAN,TOTAL,928844.0
87,ACEH,2,2,2014,0.37172031818261075,tinggi,2,1,PERKOTAAN,TOTAL,975927.0
88,ACEH,2,2,2015,0.37998143650925276,tinggi,2,1,PERKOTAAN,TOTAL,996300.0
89,ACEH,2,2,2016,0.425415357091736,tinggi,2,1,PERKOTAAN,TOTAL,1108346.0
90,ACEH,2,2,2017,0.4572551093190102,tinggi,2,1,PERKOTAAN,TOTAL,1186867.0
91,ACEH,2,2,2018,0.4914909224205851,tinggi,2,1,PERKOTAAN,TOTAL,1271297.0
92,ACEH,2,2,2019,0.49494694320780197,tinggi,0,1,PERKOTAAN,TOTAL,1279820.0
93,ACEH,2,2,2020,0.5273187028588505,tinggi,0,1,PERKOTAAN,TOTAL,1359653.0
94,ACEH,2,2,2021,0.5673972712722885,tinggi,0,1,PERKOTAAN,TOTAL,1458492.0
95,ACEH,2,2,2022,0.5650003994110613,tinggi,0,1,PERKOTAAN,TOTAL,1452581.0
96,ACEH,1,0,2011,0.10949986030750192,rendah,1,0,PERDESAANPERKOTAAN,MAKANAN,329257.0
97,ACEH,1,0,2012,0.12039749713214748,rendah,1,0,PERDESAANPERKOTAAN,MAKANAN,356132.0
98,ACEH,1,0,2013,0.12676617746583616,rendah,1,0,PERDESAANPERKOTAAN,MAKANAN,371838.0
99,ACEH,1,0,2014,0.14095723219893833,rendah,2,0,PERDESAANPERKOTAAN,MAKANAN,406834.99999999994
100,ACEH,1,0,2015,0.14441163101230226,sedang,2,0,PERDESAANPERKOTAAN,MAKANAN,415353.99999999994
101,ACEH,1,0,2016,0.1592518807800559,sedang,2,0,PERDESAANPERKOTAAN,MAKANAN,451952.0
102,ACEH,1,0,2017,0.19055962558355577,sedang,2,0,PERDESAANPERKOTAAN,MAKANAN,529161.0
103,ACEH,1,0,2018,0.19806409310778705,sedang,2,0,PERDESAANPERKOTAAN,MAKANAN,547668.0
104,ACEH,1,0,2019,0.20278038757876204,sedang,0,0,PERDESAANPERKOTAAN,MAKANAN,559299.0
105,ACEH,1,0,2020,0.21751399256568285,sedang,0,0,PERDESAANPERKOTAAN,MAKANAN,595634.0
106,ACEH,1,0,2021,0.23696024258240944,tinggi,0,0,PERDESAANPERKOTAAN,MAKANAN,643591.0
107,ACEH,1,0,2022,0.24705256938905518,tinggi,0,0,PERDESAANPERKOTAAN,MAKANAN,668480.0
108,ACEH,1,1,2011,0.06714241863064047,rendah,1,2,PERDESAANPERKOTAAN,NONMAKANAN,224798.0
109,ACEH,1,1,2012,0.06842783290911958,rendah,1,2,PERDESAANPERKOTAAN,NONMAKANAN,227967.99999999997
110,ACEH,1,1,2013,0.07960931515803499,rendah,1,2,PERDESAANPERKOTAAN,NONMAKANAN,255542.99999999997
